Simulation of solar system over 100 years, with 1316134912 iterations, using perihelion´s method.
Time 	sun	 	mercury	 	
angle: 17.4571884	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.60252126e-05 , 0
angle: 17.5123735	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.61074826e-05 , 0
angle: 17.5675526	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.61897438e-05 , 0
angle: 17.6227279	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.62719992e-05 , 0
angle: 17.6778988	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.63542482e-05 , 0
angle: 17.7330669	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.64364928e-05 , 0
angle: 17.7882302	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.65187304e-05 , 0
angle: 17.8433891	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.66009613e-05 , 0
angle: 17.8985431	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.66831851e-05 , 0
angle: 17.9536928	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.67654024e-05 , 0
angle: 18.0088387	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.6847614e-05 , 0
angle: 18.6979967	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.78750122e-05 , 0
angle: 18.7531342	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.79572112e-05 , 0
angle: 18.808267	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.80394033e-05 , 0
angle: 18.8633962	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.812159e-05 , 0
angle: 18.9185211	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.82037704e-05 , 0
angle: 18.9736415	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.82859441e-05 , 0
angle: 19.028758	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.83681119e-05 , 0
angle: 19.083871	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.84502744e-05 , 0
angle: 19.1389794	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.85324302e-05 , 0
angle: 19.1940829	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.86145785e-05 , 0
angle: 19.249182	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.86967203e-05 , 0
angle: 19.3042773	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.87788565e-05 , 0
angle: 19.3593691	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.88609875e-05 , 0
angle: 20.0484725	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.98883043e-05 , 0
angle: 20.1035565	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.99704236e-05 , 0
angle: 20.1586366	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.00525372e-05 , 0
angle: 20.2137115	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.01346429e-05 , 0
angle: 20.2687822	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.02167424e-05 , 0
angle: 20.3238485	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.02988353e-05 , 0
angle: 20.3789094	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.03809203e-05 , 0
angle: 20.4339655	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.0462998e-05 , 0
angle: 20.4890167	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.05450684e-05 , 0
angle: 20.5440638	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.06271328e-05 , 0
angle: 20.5991061	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.07091899e-05 , 0
angle: 20.654144	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.07912406e-05 , 0
angle: 20.7091783	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 3.08732858e-05 , 0
angle: 21.3982234	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.19005158e-05 , 0
angle: 21.4532486	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.19825474e-05 , 0
angle: 21.5082692	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.20645723e-05 , 0
